,Name,ReleaseYear,Duration_min,NumberOfRatings,NumberOfReviews,NumberOfCriticReviews,Rating
410,Isle of Dogs,2018,101,150000,458,404,7.9
411,Donnie Brasco,1997,127,290000,317,116,7.7
412,In Bruges,2008,107,401000,663,325,7.9
413,Beauty and the Beast,1991,84,427000,459,214,8.0
414,Lethal Weapon,1987,109,245000,353,133,7.6
415,Lawrence of Arabia,1962,228,278000,715,160,8.3
416,The Wrestler,2008,109,296000,625,336,7.9
417,Dog Day Afternoon,1975,125,245000,344,93,8.0
418,Gifted,2017,101,107000,288,209,7.6
419,The Theory of Everything,2014,123,421000,546,438,7.7
420,Raging Bull,1980,129,334000,636,154,8.2
421,Groundhog Day,1993,101,594000,837,136,8.0
422,I Saw the Devil,2010,144,118000,371,288,7.8
423,Akira,1988,124,173000,577,139,8.0
424,Match Point,2005,124,211000,811,281,7.6
425,A Silent Voice: The Movie,2016,130,61000,290,89,8.2
426,Dangal,2016,161,169000,439,65,8.4
427,Toy Story 3,2010,103,782000,935,481,8.2
428,The Bridges of Madison County,1995,135,76000,267,81,7.6
429,Who's Afraid of Virginia Woolf?,1966,131,73000,318,105,8.0
430,Stalker,1979,162,125000,458,170,8.1
431,Cinema Paradiso,1988,155,243000,561,134,8.5
432,The Nightmare Before Christmas,1993,76,308000,575,230,8.0
433,Bridge of Spies,2015,142,298000,502,507,7.6
434,Das Boot,1981,149,239000,537,118,8.3
435,The Fall,2006,117,109000,366,196,7.8
436,North by Northwest,1959,136,311000,665,185,8.3
437,Straight Outta Compton,2015,147,187000,403,386,7.8
438,The Longest Day,1962,178,54000,246,58,7.8
439,Mad Max 2,1981,96,172000,370,210,7.6
440,Mississippi Burning,1988,128,94000,220,74,7.8
441,JFK,1991,189,148000,522,89,8.0
442,Before Midnight,2013,109,148000,348,443,7.9
443,Hachi: A Dog's Tale,2009,93,265000,554,97,8.1
444,Philadelphia,1993,125,231000,313,72,7.7
445,Clerks,1994,92,216000,660,130,7.7
446,The Secret in Their Eyes,2009,129,200000,333,285,8.2
447,The Killing Fields,1984,141,53000,216,81,7.8
448,Dogville,2003,178,143000,661,159,8.0
449,Awakenings,1990,121,132000,234,49,7.8
450,Adaptation.,2002,115,185000,769,106,7.7
451,Breakfast at Tiffany's,1961,115,172000,487,194,7.6
452,Boyhood,2014,165,344000,1000,589,7.9
453,Brazil,1985,132,194000,611,266,7.9
454,The King's Speech,2010,118,655000,784,485,8.0
455,Perfect Blue,1997,81,65000,243,133,8.0
456,Being John Malkovich,1999,113,322000,910,265,7.7
457,The Insider,1999,157,165000,564,217,7.8
458,Eastern Promises,2007,100,234000,445,294,7.6
459,For a Few Dollars More,1965,132,242000,316,96,8.2
460,My Neighbor Totoro,1988,86,308000,524,144,8.2
461,Seven Pounds,2008,123,293000,724,212,7.6
462,Paris  Texas,1984,145,98000,282,109,8.1
463,The Boy in the Striped Pajamas,2008,94,198000,513,145,7.8
464,The Fighter,2010,116,350000,471,420,7.8
465,When Harry Met Sally...,1989,95,204000,356,136,7.6
466,Kung Fu Hustle,2004,99,132000,450,380,7.7
467,The Naked Gun: From the Files of Police Squad!,1988,85,160000,242,101,7.6
468,Battle Royale,2000,114,174000,679,213,7.6
469,The Dirty Dozen,1967,150,70000,198,96,7.7
470,3:10 to Yuma,2007,122,297000,668,306,7.7
471,The Sting,1973,129,249000,330,138,8.3
472,Chungking Express,1994,102,70000,207,115,8.1
473,The Ten Commandments,1956,220,67000,316,86,7.9
474,End of Watch,2012,109,234000,444,376,7.6
475,Toy Story 2,1999,92,546000,651,212,7.9
476,The Seventh Seal,1957,96,174000,379,134,8.2
477,The Girl with the Dragon Tattoo,2009,152,212000,328,339,7.8
478,Dirty Harry,1971,102,148000,389,149,7.7
479,The Holy Mountain,1973,114,40000,177,106,7.9
480,Some Like It Hot,1959,121,253000,461,230,8.2
481,The Lego Movie,2014,100,334000,581,466,7.7
482,Sunset Blvd.,1950,110,210000,658,188,8.4
483,Blood Simple,1984,99,92000,338,154,7.6
484,Carlito's Way,1993,144,208000,351,111,7.9
485,This Is Spinal Tap,1984,82,134000,391,96,7.9
486,The Raid: Redemption,2011,101,196000,442,522,7.6
487,The Color Purple,1985,154,82000,254,83,7.8
488,Before Sunset,2004,80,246000,578,236,8.1
489,Young Frankenstein,1974,106,149000,386,125,8.0
490,Fried Green Tomatoes,1991,130,70000,210,45,7.7
491,The Elephant Man,1980,124,229000,449,163,8.1
492,Searching,2018,102,150000,1200,254,7.6
493,The Last Picture Show,1971,118,45000,205,96,8.0
494,To Kill a Mockingbird,1962,129,303000,587,166,8.3
495,The Great Escape,1963,172,233000,391,119,8.2
496,Paddington 2,2017,103,67000,274,431,7.8
497,Out of the Past,1947,97,35000,260,151,8.0
498,Once,2007,86,113000,374,244,7.8
499,Neon Genesis Evangelion: The End of Evangelion,1997,87,45000,206,17,8.1
500,This Is England,2006,101,118000,223,176,7.7
501,Wild Tales,2014,122,186000,260,319,8.1
502,Ran,1985,162,118000,310,170,8.2
503,Die Hard with a Vengeance,1995,128,372000,417,178,7.6
